full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H,diameter
 20897 Deborahdomingue (2000 WR142),2.771459681364438,0.02454227170051693,15.574547776125751,118.7926650507573,207.52104851480132,2.7034417648573643,2.8394775978715114,4.613930513390669,8421.0,0,991,,,14.4,5.9910000000000005
373268 (2012 HZ12),3.041344233993199,0.03338785571557841,12.013787364503491,103.34208499293649,220.4956625563165,2.9398002715272273,3.14288819645917,5.30403730530986,5916.0,0,304,,,15.3,4.5889999999999995
241839 (2001 SO339),3.097870822202685,0.1264613776551035,26.72478504093483,328.84931111,316.52394469181735,2.7061098102293855,3.489631834175985,5.452593965194019,6736.0,0,314,,,15.0,6.6160000000000005
 57997 (2002 RN110),2.239635395908377,0.08190975906034689,5.5485543887426605,290.0186419382069,197.2601038079949,2.056187400246497,2.423083391570256,3.35176982000355,8413.0,0,785,,,16.0,1.63
       (2010 BB16),5.219880823577905,0.1497172940443451,22.1821179415908,180.1105636847041,227.03243691622,4.438374391437853,6.0013872557179555,11.926117496264,4376.0,0,91,,,14.2,8.423
 87240 (2000 OJ45),2.661431737147313,0.2576581168561721,13.03377379350038,176.21383194117698,136.7424928011377,1.975692247612685,3.34717122668194,4.3419138230599,7717.0,0,1119,,,14.5,3.397
 73464 (2002 NY54),3.0078565958997387,0.04889658042489832,8.617419344555296,306.5774413969767,50.61267526458278,2.8607826939517658,3.1549304978477113,5.21667633923789,9046.0,0,539,,,14.9,3.804
149746 (2004 NW30),3.188492147431503,0.1503378978693195,8.388577148247538,121.1449237694548,208.768020455159,2.709140940613818,3.6678433542491873,5.69359052241133,6210.0,0,452,,,14.6,5.598
433665 (2014 CB22),3.175869943766262,0.0955649103209871,26.15650450062559,139.9805995396331,71.51607670010341,2.8723682173991203,3.4793716701334034,5.659815393454941,4023.0,0,171,,,15.5,4.163
106310 (2000 UX92),3.0945768418245536,0.09437521720702403,9.578492749853682,253.92595701157958,249.9689451701779,2.8025254802135353,3.386628203435573,5.443899624815639,6846.0,0,613,,,14.5,4.83
       (2010 KN111),3.179920015487437,0.2017711877507431,5.6890405729224245,180.522450279022,167.83753584137241,2.538303777010175,3.821536253964698,5.670645480281941,6207.0,0,69,,,16.4,2.479
236963 (2007 UF105),2.7667486487445627,0.08095905699668718,4.9906175401452115,191.8065464558152,69.03296678323306,2.5427552871953454,2.990742010293781,4.602171112233759,7472.0,0,262,,,16.1,3.865
